DelayID,ShippingID,Reason,DelayDuration
1,120663,Logistics Issue,5
2,193418,Customs,3
3,80428,Logistics Issue,2
4,139132,Customs,6
5,26361,Logistics Issue,8
6,110024,Weather,6
7,36659,Weather,5
8,67741,Weather,8
9,99270,Customs,6
10,97234,Customs,7
11,83490,Logistics Issue,6
12,29912,Logistics Issue,6
13,175536,Logistics Issue,8
14,114531,Traffic,6
15,69863,Logistics Issue,3
16,93582,Logistics Issue,5
17,145865,Logistics Issue,2
18,177303,Weather,2
19,157056,Traffic,2
20,168052,Traffic,5
21,52911,Traffic,3
22,107452,Customs,4
23,80524,Logistics Issue,5
24,195816,Weather,7
25,168846,Weather,9
26,124315,Customs,5
27,103686,Weather,9
28,70225,Weather,9
29,124244,Weather,8
30,30092,Customs,6
31,93174,Logistics Issue,9
32,19526,Traffic,2
33,96513,Traffic,6
34,158781,Customs,2
35,100875,Customs,3
36,82931,Customs,8
37,133529,Weather,9
38,64889,Customs,5
39,531,Weather,3
40,96936,Customs,6
41,119639,Weather,9
42,123273,Weather,9
43,156646,Logistics Issue,3
44,136032,Customs,4
45,133714,Logistics Issue,1
46,83840,Logistics Issue,7
47,171767,Logistics Issue,5
48,151335,Weather,6
49,192066,Logistics Issue,8
50,122885,Customs,7
51,195693,Weather,6
52,41081,Customs,9
53,181538,Logistics Issue,9
54,48591,Traffic,4
55,77893,Weather,5
56,121523,Logistics Issue,3
57,73415,Weather,9
58,80193,Logistics Issue,1
59,27238,Customs,1
60,179239,Customs,6
61,189865,Logistics Issue,6
62,181724,Traffic,1
63,114599,Customs,2
64,84317,Logistics Issue,8
65,67623,Customs,8
66,87251,Weather,2
67,20635,Weather,9
68,13409,Customs,1
69,83123,Weather,6
70,59852,Customs,4
71,50711,Logistics Issue,7
72,15403,Logistics Issue,3
73,116322,Customs,2
74,190065,Logistics Issue,5
75,127151,Traffic,8
76,74927,Logistics Issue,3
77,52079,Weather,1
78,167604,Customs,3
79,94753,Traffic,4
80,26480,Logistics Issue,6
81,116301,Weather,2
82,164588,Weather,3
83,77677,Logistics Issue,5
84,7558,Traffic,5
85,12955,Traffic,7
86,110436,Logistics Issue,8
87,109190,Logistics Issue,4
88,58090,Logistics Issue,4
89,150351,Weather,1
90,53222,Customs,5
91,151887,Customs,6
92,155106,Customs,2
93,172237,Customs,6
94,91968,Customs,7
95,87242,Traffic,8
96,134051,Logistics Issue,8
97,141925,Weather,5
98,32150,Weather,9
99,20560,Logistics Issue,9
100,61558,Logistics Issue,5
101,142114,Customs,8
102,54600,Weather,9
103,107898,Traffic,1
104,193170,Customs,3
105,84944,Traffic,2
106,39743,Customs,4
107,4634,Traffic,3
108,191070,Customs,7
109,98775,Traffic,2
110,1710,Customs,1
111,29696,Customs,6
112,99054,Customs,4
113,59729,Traffic,9
114,168250,Weather,6
115,158400,Traffic,6
116,41156,Logistics Issue,1
117,192455,Customs,4
118,147388,Customs,3
119,143011,Weather,4
120,110176,Traffic,8
121,597,Customs,2
122,85170,Customs,6
123,143909,Customs,1
124,169080,Logistics Issue,9
125,116745,Weather,6
126,137274,Traffic,7
127,84973,Weather,6
128,17262,Customs,9
129,129235,Logistics Issue,6
130,141380,Customs,6
131,63871,Traffic,6
132,23602,Customs,4
133,135862,Customs,7
134,173079,Logistics Issue,9
135,22667,Customs,9
136,150394,Traffic,1
137,189687,Logistics Issue,6
138,77326,Logistics Issue,9
139,139795,Traffic,2
140,128636,Traffic,8
141,134623,Weather,2
142,100981,Weather,7
143,9155,Customs,7
144,103071,Logistics Issue,1
145,4171,Logistics Issue,4
146,55924,Traffic,7
147,57199,Logistics Issue,6
148,1673,Customs,3
149,133734,Logistics Issue,1
150,119673,Customs,8
151,145332,Weather,7
152,102826,Customs,7
153,52342,Traffic,4
154,162455,Weather,8
155,6002,Logistics Issue,6
156,24905,Weather,3
157,58261,Traffic,1
158,133587,Weather,6
159,60750,Customs,5
160,181190,Customs,6
161,103090,Weather,5
162,172669,Logistics Issue,8
163,120378,Logistics Issue,9
164,171162,Customs,1
165,169657,Customs,7
166,83273,Weather,8
167,34117,Traffic,4
168,148557,Traffic,9
169,58503,Weather,8
170,111479,Weather,2
171,74726,Traffic,8
172,103170,Weather,3
173,147166,Weather,6
174,184735,Logistics Issue,1
175,110559,Logistics Issue,1
176,132003,Customs,7
177,111981,Logistics Issue,2
178,133023,Customs,9
179,155953,Traffic,6
180,85148,Customs,5
181,114579,Logistics Issue,2
182,11491,Customs,1
183,86638,Traffic,2
184,142136,Logistics Issue,9
185,182441,Traffic,7
186,137049,Logistics Issue,2
187,159230,Logistics Issue,7
188,71237,Traffic,8
189,91218,Traffic,2
190,156212,Traffic,6
191,87098,Traffic,9
192,185710,Traffic,1
193,156306,Traffic,3
194,32621,Customs,6
195,78298,Logistics Issue,8
196,12369,Customs,1
197,81589,Weather,2
198,23810,Traffic,8
199,58496,Customs,6
200,178109,Customs,4
201,128036,Traffic,4
202,68835,Weather,6
203,153726,Weather,3
204,72361,Traffic,8
205,106207,Customs,8
206,56287,Customs,1
207,115230,Weather,3
208,73978,Customs,2
209,145597,Traffic,7
210,174587,Weather,1
211,47842,Traffic,9
212,38867,Logistics Issue,6
213,175548,Weather,2
214,118026,Customs,2
215,181846,Customs,8
216,151300,Logistics Issue,7
217,146943,Logistics Issue,2
218,188860,Logistics Issue,1
219,125005,Traffic,2
220,185883,Logistics Issue,1
221,137929,Traffic,3
222,27395,Weather,5
223,2131,Weather,3
224,160593,Customs,6
225,88399,Customs,8
226,8194,Weather,2
227,173747,Traffic,4
228,115345,Weather,4
229,63482,Logistics Issue,2
230,75685,Logistics Issue,8
231,27799,Traffic,4
232,158157,Customs,4
233,36094,Customs,4
234,194967,Customs,2
235,93808,Logistics Issue,8
236,23421,Traffic,1
237,139688,Customs,6
238,105000,Weather,9
239,125088,Logistics Issue,3
240,145991,Traffic,4
241,80282,Logistics Issue,3
242,184191,Weather,1
243,115069,Weather,5
244,167760,Customs,2
245,73452,Customs,1
246,74138,Weather,4
247,513,Traffic,6
248,8700,Traffic,3
249,63255,Weather,3
250,115646,Logistics Issue,6
251,158370,Logistics Issue,1
252,33756,Weather,1
253,66985,Traffic,7
254,53363,Logistics Issue,7
255,23872,Logistics Issue,9
256,19605,Traffic,7
257,157057,Logistics Issue,5
258,77023,Traffic,3
259,1760,Customs,6
260,42022,Traffic,1
261,45556,Logistics Issue,8
262,71836,Customs,2
263,131509,Logistics Issue,2
264,51668,Customs,8
265,157745,Weather,4
266,169842,Customs,3
267,56795,Weather,1
268,89052,Logistics Issue,9
269,156251,Weather,7
270,24859,Traffic,3
271,98950,Logistics Issue,7
272,35956,Traffic,1
273,111406,Traffic,1
274,102366,Weather,6
275,95923,Customs,6
276,120656,Customs,1
277,90159,Traffic,2
278,98341,Customs,9
279,93963,Weather,2
280,25713,Weather,7
281,70111,Traffic,1
282,189435,Customs,1
283,53386,Logistics Issue,9
284,1792,Customs,8
285,186499,Logistics Issue,1
286,79442,Logistics Issue,5
287,110572,Logistics Issue,7
288,109403,Weather,9
289,128462,Traffic,7
290,124278,Weather,8
291,61326,Customs,4
292,50319,Traffic,7
293,32898,Logistics Issue,1
294,123494,Weather,5
295,178540,Weather,8
296,185381,Traffic,6
297,139257,Logistics Issue,4
298,128805,Weather,6
299,95203,Traffic,3
300,195805,Logistics Issue,3
301,171819,Traffic,4
302,129143,Weather,4
303,166031,Logistics Issue,8
304,135711,Logistics Issue,6
305,3916,Customs,2
306,84042,Customs,9
307,193342,Logistics Issue,9
308,95837,Weather,3
309,83374,Weather,9
310,169,Traffic,4
311,194758,Weather,5
312,143821,Customs,4
313,113005,Traffic,8
314,118732,Weather,3
315,65263,Weather,6
316,147033,Customs,6
317,108999,Weather,7
318,161867,Logistics Issue,3
319,56133,Logistics Issue,6
320,139371,Logistics Issue,7
321,162014,Customs,3
322,108533,Logistics Issue,1
323,20090,Traffic,3
324,54942,Weather,3
325,47198,Customs,1
326,32366,Logistics Issue,8
327,91371,Weather,3
328,70936,Traffic,3
329,156460,Weather,5
330,99786,Traffic,8
331,38413,Traffic,4
332,153842,Weather,1
333,56800,Logistics Issue,9
334,138275,Logistics Issue,7
335,130752,Traffic,5
336,113828,Customs,7
337,141218,Traffic,4
338,96048,Logistics Issue,2
339,74769,Logistics Issue,3
340,18068,Weather,5
341,69906,Customs,2
342,111375,Traffic,8
343,84147,Weather,7
344,193272,Weather,3
345,171779,Logistics Issue,8
346,30357,Customs,4
347,188794,Traffic,7
348,136683,Traffic,7
349,131470,Traffic,5
350,155358,Customs,4
351,152277,Customs,6
352,100916,Customs,2
353,86243,Weather,2
354,167450,Logistics Issue,3
355,195081,Traffic,6
356,16260,Customs,1
357,171540,Logistics Issue,7
358,113397,Logistics Issue,2
359,131328,Traffic,9
360,30242,Traffic,2
361,129493,Customs,6
362,55702,Weather,9
363,39398,Customs,6
364,172924,Weather,6
365,113298,Weather,8
366,35554,Weather,3
367,108521,Customs,3
368,147033,Customs,9
369,194893,Logistics Issue,8
370,146218,Logistics Issue,2
371,183085,Logistics Issue,3
372,128812,Weather,1
373,171328,Customs,5
374,26887,Weather,5
375,100256,Weather,4
376,62397,Weather,8
377,188796,Weather,4
378,112828,Traffic,8
379,10434,Weather,1
380,194954,Weather,8
381,164024,Weather,5
382,16653,Weather,8
383,72111,Customs,5
384,66957,Traffic,9
385,76638,Weather,6
386,73738,Traffic,4
387,109302,Customs,1
388,83360,Customs,9
389,113890,Traffic,4
390,156573,Customs,3
391,190220,Logistics Issue,8
392,196280,Customs,1
393,52609,Weather,9
394,43092,Logistics Issue,1
395,191293,Customs,4
396,39601,Traffic,2
397,23902,Traffic,2
398,122090,Customs,6
399,24562,Logistics Issue,9
400,110943,Customs,5
401,147296,Logistics Issue,3
402,18162,Customs,7
403,154672,Logistics Issue,8
404,63049,Traffic,2
405,182137,Customs,1
406,15796,Weather,1
407,141244,Logistics Issue,9
408,69815,Traffic,6
409,117993,Logistics Issue,4
410,47221,Customs,1
411,55506,Logistics Issue,1
412,99429,Traffic,2
413,145568,Traffic,3
414,14903,Traffic,9
415,146752,Customs,6
416,129029,Weather,9
417,174193,Customs,6
418,37618,Customs,5
419,124617,Weather,9
420,88800,Logistics Issue,7
421,176802,Traffic,2
422,396,Customs,1
423,2518,Customs,2
424,153815,Logistics Issue,3
425,99533,Customs,4
426,28413,Traffic,4
427,112862,Traffic,4
428,68070,Customs,9
429,122628,Traffic,4
430,120705,Traffic,5
431,148421,Customs,1
432,38634,Traffic,3
433,43943,Weather,9
434,108989,Traffic,2
435,130173,Weather,1
436,59708,Weather,7
437,114865,Logistics Issue,2
438,126679,Weather,1
439,194198,Customs,5
440,130534,Customs,9
441,128596,Traffic,6
442,135130,Logistics Issue,8
443,94723,Customs,3
444,20085,Logistics Issue,7
445,91978,Customs,6
446,137141,Weather,7
447,11261,Weather,5
448,100556,Logistics Issue,2
449,137995,Weather,1
450,162689,Traffic,7
451,101107,Customs,3
452,95801,Logistics Issue,4
453,140413,Traffic,8
454,18002,Traffic,8
455,54405,Logistics Issue,3
456,125262,Customs,9
457,163751,Traffic,3
458,20680,Logistics Issue,7
459,148271,Customs,8
460,193031,Customs,6
461,142542,Logistics Issue,7
462,128390,Logistics Issue,2
463,65251,Logistics Issue,6
464,24893,Customs,8
465,58656,Traffic,9
466,149179,Customs,3
467,59022,Traffic,6
468,32200,Traffic,4
469,32684,Logistics Issue,5
470,56955,Traffic,9
471,155528,Traffic,8
472,34730,Weather,2
473,41076,Logistics Issue,4
474,63902,Traffic,9
475,128262,Weather,1
476,173811,Logistics Issue,7
477,90465,Traffic,6
478,9367,Logistics Issue,9
479,24412,Traffic,3
480,31199,Traffic,5
481,159819,Traffic,1
482,45535,Weather,8
483,72760,Weather,9
484,69403,Traffic,5
485,64739,Weather,6
486,36395,Customs,4
487,174539,Logistics Issue,3
488,4182,Weather,9
489,15858,Weather,9
490,181091,Traffic,6
491,191903,Weather,8
492,50857,Weather,5
493,15299,Customs,6
494,29334,Customs,9
495,104979,Logistics Issue,5
496,179521,Customs,4
497,131537,Customs,3
498,195779,Traffic,7
499,187197,Weather,1
500,137264,Weather,8
501,93593,Weather,6
502,81771,Weather,5
503,194983,Weather,4
504,136013,Logistics Issue,5
505,120392,Logistics Issue,2
506,157345,Customs,7
507,44318,Weather,2
508,152269,Customs,4
509,67869,Traffic,8
